#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
1036.577662,500,4279.233541
1000.234535,500,4280.122344
1036.827704,500,4281.012686
1036.813021,500,4281.902063
1376.671995,500,4282.793149
1036.797151,500,4289.283736
1117.570098,500,4290.175132
1000.231974,500,4291.060484
1036.746846,500,4291.956046
1036.780946,500,4294.841973
1376.642504,500,4295.740018
1376.695086,500,4296.661768
1376.687776,500,4297.556713
1376.695938,500,4300.440479
1117.405363,500,4301.339786
1117.548842,500,4302.227374
1036.805127,500,4303.129312
1036.7581,500,4306.006539
1117.543119,500,4306.907294
1000.237028,500,4307.793948
1117.57085,500,4308.685627
1036.804598,500,4311.296692
1117.517326,500,4312.182573
1376.597119,500,4313.061603
1376.690266,500,4313.952386
1117.378835,500,4317.162965
1000.235862,500,4318.056462
1000.222383,500,4318.935124
1376.700579,500,4319.830432
1376.697205,500,4326.597178
1117.595274,500,4327.483243
1376.697817,500,4328.366691
1376.699562,500,4329.254733
1117.507938,500,4332.103309
1036.803767,500,4332.998638
1000.237459,500,4333.872919
1376.656502,500,4334.764161
1036.795827,500,4337.265552
1036.808183,500,4338.156248
1376.603247,500,4339.044436
1376.601209,500,4339.94312
1376.679489,500,4342.45871
1117.395126,500,4343.358249
1000.241087,500,4344.245988
1117.551747,500,4345.145007
1000.239599,500,4346.034322
1000.204484,500,4348.561488
1117.436231,500,4349.442065
1036.741943,500,4350.331183
1036.746423,500,4351.216686
1036.76676,500,4353.750908
1036.530453,500,4354.656739
1117.573649,500,4355.548945
1000.241796,500,4356.446023
1376.660414,500,4362.559941
1000.210701,500,4363.448484
1000.200943,500,4364.345596
1000.231354,500,4365.226188
1036.623856,500,4367.758263
1376.686781,500,4368.639275
1376.646408,500,4369.541897
1376.600998,500,4370.432798
1000.236521,500,4372.957941
1000.205504,500,4373.834883
1117.387104,500,4374.733693
1376.69118,500,4375.606634
1000.241465,500,4378.113729
1376.612229,500,4378.999141
1117.572157,500,4379.889694
1117.574313,500,4380.763837
1376.69954,500,4383.266921
1000.220244,500,4384.150263
1000.232788,500,4385.037274
1117.578678,500,4385.923401
1036.730238,500,4388.431076
1000.184232,500,4389.309153
1117.462356,500,4390.195143
1117.546039,500,4391.070969
1036.787458,500,4397.169888
1117.520221,500,4398.042032
1036.373286,500,4398.930856
1036.566989,500,4399.808243
1376.689341,500,4402.343923
1000.208583,500,4403.217995
1036.127221,500,4404.118923
1036.748788,500,4404.986979
1000.238036,500,4407.476758
1376.602494,500,4408.366913
1117.558361,500,4409.259627
1036.371708,500,4410.137676
1117.592053,500,4411.035193
